Date,Open,High,Low,Adj Close,Volume
1/26/2023,98.279999,96.82,99.209999,99.160004,24542100
1/27/2023,99.050003,98.970001,101.580002,100.709999,29020400
1/30/2023,98.745003,97.519997,99.408997,97.949997,24365100
1/31/2023,97.860001,97.790001,99.910004,99.870003,22306800
2/1/2023,99.739998,98.419998,102.190002,101.43,26392600
2/2/2023,106.790001,106.540001,108.82,108.800003,46622600
2/3/2023,103.510002,103.300003,108.019997,105.220001,36823400
2/6/2023,102.684998,102.209999,104.699997,103.470001,25573000
2/7/2023,103.629997,103.547997,108.669998,108.040001,33738800
2/8/2023,102.690002,98.455002,103.580002,100,73546000
2/9/2023,100.540001,93.860001,100.610001,95.459999,97798600
2/10/2023,95.739998,94.529999,97.019997,94.860001,49325300
2/13/2023,95.010002,94.050003,95.349998,95,43116600
2/14/2023,94.660004,92.650002,95.175003,94.949997,42513100
2/15/2023,94.739998,94.360001,97.339996,97.099998,36964500
2/16/2023,95.540001,94.970001,97.879997,95.779999,35642100
2/17/2023,95.07,93.449997,95.75,94.589996,31095100
2/21/2023,93.239998,92,93.415001,92.050003,28367200
2/22/2023,91.933998,90.870003,92.360001,91.800003,29891100
2/23/2023,92.129997,90.010002,92.129997,91.07,32423700
2/24/2023,89.629997,88.860001,90.129997,89.349998,31295600
2/27/2023,90.089996,89.610001,90.449997,90.099998,22724300
2/28/2023,89.540001,89.519997,91.449997,90.300003,30546900
3/1/2023,90.160004,89.849998,91.199997,90.510002,26323900
3/2/2023,89.860001,89.769997,92.480003,92.309998,23328600
3/3/2023,92.739998,92.660004,94.110001,94.019997,30242500
3/6/2023,94.360001,94.300003,96.300003,95.580002,28288200
3/7/2023,95.419998,93.844002,96.089996,94.169998,24101500
3/8/2023,94.404999,94.404999,96.239998,94.650002,25395200
3/9/2023,94.489998,92.355003,95.919998,92.660004,24438900
3/10/2023,92.5,90.800003,93.18,91.010002,32850100
3/13/2023,90.565002,89.940002,93.080002,91.660004,31508600
3/14/2023,93.07,92.779999,94.830002,94.25,32303900
3/15/2023,93.540001,93.040001,97.25,96.550003,38367300
3/16/2023,96.57,95.870003,101.970001,101.07,54499500
3/17/2023,100.839996,100.75,103.489998,102.459999,76140300
3/20/2023,101.059998,100.790001,102.580002,101.93,26033900
3/21/2023,101.980003,101.860001,105.959999,105.839996,33122800
3/22/2023,105.139999,104.209999,107.510002,104.220001,32336900
3/23/2023,105.889999,105.410004,107.100998,106.260002,31385800
3/24/2023,105.739998,104.739998,106.160004,106.059998,25236200
3/27/2023,105.32,102.629997,105.400002,103.059998,25393400
3/28/2023,103,100.279999,103,101.360001,24913500
3/29/2023,102.720001,101.029999,102.82,101.900002,26148300
3/30/2023,101.440002,100.290001,101.610001,101.32,25009800
3/31/2023,101.709999,101.440002,104.190002,104,28108000
4/3/2023,102.669998,102.379997,104.949997,104.910004,20719900
4/4/2023,104.839996,104.599998,106.099998,105.120003,20377200
4/5/2023,106.120003,104.101997,106.540001,104.949997,21864200
4/6/2023,105.769997,104.815002,109.629997,108.900002,34684200
4/10/2023,107.389999,105.599998,107.970001,106.949997,19741500
4/11/2023,106.919998,105.279999,107.220001,106.120003,18721300
4/12/2023,107.389999,104.970001,107.586998,105.220001,22761600
4/13/2023,106.470001,106.440002,108.264999,108.190002,21650700
4/14/2023,107.690002,107.589996,109.580002,109.459999,20758700
4/17/2023,105.43,105.32,106.709999,106.419998,29043400
4/18/2023,107,104.779999,107.050003,105.120003,17641400
4/19/2023,104.214996,103.800003,105.724998,105.019997,16732000
4/20/2023,104.650002,104.639999,106.888,105.900002,22515300
4/21/2023,106.089996,105.485001,106.639999,105.910004,22379000
4/24/2023,106.050003,105.360001,107.32,106.779999,21410900
4/25/2023,106.610001,104.559998,107.440002,104.610001,31408100
4/26/2023,105.559998,103.269997,107.019997,104.449997,37068200
4/27/2023,105.230003,104.419998,109.150002,108.370003,38235200
4/28/2023,107.800003,106.040001,108.290001,108.220001,23957900
5/1/2023,107.720001,107.5,108.68,107.709999,20926300
5/2/2023,107.660004,104.5,107.730003,105.980003,20343100
5/3/2023,106.220001,105.620003,108.129997,106.120003,17116300
5/4/2023,106.160004,104.699997,106.300003,105.209999,19780600
5/5/2023,105.32,104.738998,106.440002,106.214996,20705300
5/8/2023,105.794998,105.790001,108.419998,108.239998,17266000
5/9/2023,108.779999,107.724998,110.595001,107.940002,24782400
5/10/2023,108.550003,108.480003,113.510002,112.279999,47533500
5/11/2023,115.860001,114.93,118.440002,116.900002,57115100
5/12/2023,117,116.550003,118.260002,117.919998,31272500
5/15/2023,116.489998,116.480003,118.794998,116.959999,22107900
5/16/2023,116.830002,116.830002,121.199997,120.089996,32370100
5/17/2023,120.18,119.459999,122.279999,121.480003,26659600
5/18/2023,121.559998,121.489998,123.900002,123.519997,27014500
